time_of_day,weather_condition,demand_multiplier,base_price,optimal_price
6,0,1.284586840608003,15.143587779501663,18.489630562838393
19,1,0.700155503097244,8.461525849705314,8.461525849705314
14,1,0.9063152956143083,16.865448155176267,16.865448155176267
10,2,1.6134061669451731,13.870372134895296,23.460995919117572
7,1,1.756126464300329,8.44745791600025,14.577581422300254
20,0,0.7635148373492839,12.180301962208867,12.180301962208867
6,2,1.8643120610908783,11.091144385505501,27.46577385617069
18,2,0.938605328917429,18.09739038784107,18.09739038784107
22,1,0.9754039066462425,5.482437124655754,6.077049240477379
10,2,1.7634649864430603,18.43765835700185,39.44602220501026
10,1,1.3588222025825383,14.78124024319615,20.67933529455825
23,1,0.9764613103950108,16.06307281322568,19.292461802323093
20,2,0.8845094521708947,5.039111950889506,5.039111950889506
3,1,1.326802495933571,14.423591510558486,19.86566803086683
7,1,1.6783624206853591,13.82729245566539,28.812575530501515
23,1,0.9653256084497985,13.058083345794497,13.058083345794497
2,1,1.4751177692304764,16.788002850588274,28.797667422282018
21,2,0.8072053999614439,13.338066445947579,13.338066445947579
20,0,0.5612863847602005,17.856457843397862,17.856457843397862
1,0,1.1037924676883692,8.489472296144577,8.709757214849482
23,1,1.0160942149411145,17.0897388345755,23.812770259489366
11,1,1.4292300206898847,7.689691592372085,9.201790639670605
5,1,1.6025020312204017,17.1967668795347,28.912826349696076
1,0,1.159782684717993,19.106952782428515,24.61809186652557
20,1,0.7038042291181862,10.035412134655761,10.035412134655761
0,2,1.565904102310225,12.948294709702832,23.127099933329347
11,2,1.515713561080625,14.874935343847214,27.3247053448941
21,2,1.1140274069743437,6.192074987817419,7.828055757966022
11,0,1.1903786739656252,12.411210773061804,15.791761229504296
16,1,0.8815501757249331,10.408774648823702,10.408774648823702
9,1,1.5681617165048685,18.086834468769624,31.21094287798464
15,1,0.714700519988026,18.15019278062489,18.15019278062489
14,0,0.7942981729506852,15.511693093208553,15.511693093208553
14,0,0.7777138644765628,14.835867118887474,14.835867118887474
18,0,0.5,16.00532688913785,16.00532688913785
11,0,0.9622171452117009,10.489803515042105,10.489803515042105
22,2,1.2205941349751912,11.067788701259381,14.673795196668447
19,0,0.6590765363349337,13.30557084333058,13.30557084333058
2,0,1.241730024687374,19.07042191046701,21.611484924377315
4,0,1.5139358972509758,15.859998111793438,25.842502025130862
18,1,0.7109159940243938,13.26483866744335,13.26483866744335
6,1,1.7036407406640268,16.556195223450718,30.483919327198603
20,1,0.7526694211181655,10.563354683576376,10.563354683576376
8,2,1.841084950412624,15.95700051716556,32.85291585812321
6,2,1.9388405667396817,11.160143724240505,26.591950142329846
17,0,0.5,9.194921105224791,9.194921105224791
